name,烟酸,维生素C,钙,磷,钾,钠,镁,铁,锌,硒ug,铜,锰,mg
煮面条,0.56,0,4,24,15,26.9,10,0.2,0.1,1.16,0.01,0.01,
馒头,0,0.65,38,107,138,165.1,30,1.8,0.71,8.45,0.1,0.78,
油条,0.7,0,6,77,227,585.2,19,1,0.75,8.6,0.19,0.52,
土豆（煮）,0.8,26,4,64,480,2,,0.6,,,,,
藕粉,0.4,,8,9,35,10.8,2,17.9,0.15,2.1,0.22,0.28,
豆腐脑,0.04,10.46,18,5,107,2.8,28,0.9,0.49,Tr,0.26,0.25,
甜豆浆,0.15,Tr,27,21,54,,15,0.5,0.27,0.1,0.08,,
苹果,0.2,3,4,7,83,1.3,4,0.3,0.04,0.1,0.07,0.03,
梨,0.2,5,7,14,85,1.7,8,0.4,0.1,0.29,0.1,0.06,
鲜枣,0.9,243,22,23,375,1.2,25,1.2,1.52,0.8,0.06,0.32,
柿子,0.3,30,9,23,151,0.8,19,0.2,0.08,0.24,0.06,0.5,
烤肉,3.4,5.4,30.2,118.1,184.7,566.2,29,2.9,2.8,3.8,0.1,,
燕麦粥,0.2,,26.6,41.6,30.6,0.5,25.3,1,0.4,0.6,0.1,0.5,
鸡蛋白,0.2,,9,18,132,79.4,15,1.6,0,7,0.1,0,
紫薯,0.6,6,45.2,55,0,28.3,23.8,1.7,0.3,0.2,0.3,0.9,
黑米饭,1.3,,4.2,64,51.3,1.6,,0.7,0.8,0.9,0.1,,
苦瓜炒肉,1,44.3,13.4,53.5,243.1,571.4,17.7,1.1,0.7,1.6,0.1,,
炒冬瓜,0.3,17.4,20,11.8,75.8,606.5,7.9,0.1,0.1,0.2,0.1,0,
木耳炒肉片,1.4,0.8,26.9,55.3,117.9,588.8,48.9,4.4,1,1.5,0.1,,
素炒莴笋,0.4,3.4,22.2,45.7,193.6,384.9,19.5,1.4,0.4,0.7,0.1,0.3,
肉包,3.1,,22.7,188.3,228.3,21.2,41.7,3.3,2.1,6.7,0.3,1.1,
米饭,1.9,0,7,62,30,2.5,15,1.3,0.9,0.4,0.1,0.6,
红烧肉,2,0.2,15.5,94.4,198.4,633.1,29.9,1.7,1.4,3,0.1,0.2,
母鸡汤,1.9,0.4,6,56.3,90.8,240.6,9.7,0.7,0.4,4,0,,
炒空心菜,0.8,24.1,95.8,38,236.8,204.6,28.2,2.3,0.4,1.2,0.1,0.7,
回锅肉,1.8,3,13.9,80.6,213.9,644.6,22.7,1.8,1.8,3.2,0.1,,
炒小白菜,0.7,25.7,85.3,40,177.7,602.6,22,2.1,0.5,1.1,0.1,0.3,
啤酒,1.1,,13,12,47,11.4,6,0.4,0.3,0.6,0,0,
炒白萝卜丝,0.14,19,47,16,167,54.3,12,0.2,0.14,0.12,0.01,0.05,
